"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Autumn","Spring","Summer","Winter","mxpsd","dewp","prcp","gust","year","temp","wdsp","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21,25.6,0,28,2013,38,15,0
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.9,12.1,0,25.1,2013,27.5,12.4,0.274238227146814
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18.1,7.8,0,24.1,2013,21.8,9.8,0.465373961218837
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22,21.1,0,29.9,2013,32.2,11.3,0.343490304709141
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,24.5,0,28,2013,37.3,13.2,0.0221606648199446
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,31.3,0.01,20,2013,35.7,5.9,0.0332409972299169
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17.1,31,0.01,22,2013,35.9,8.5,0.38781163434903
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17.1,34.1,0,25.1,2013,39.8,10.4,0.365650969529086
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11.1,37.6,0,999.9,2013,39.9,5.3,0.293628808864266
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,30.4,0,32.1,2013,43.5,14.7,0.481994459833795
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11.1,31.4,0,999.9,2013,38,5.4,0.772853185595568
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,41.5,0.17,20,2013,42.7,7.9,0.260387811634349
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15.9,47.1,0,21,2013,47.2,8.2,0.445983379501385
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,38.3,0.24,999.9,2013,42.3,8,0.373961218836565
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,40,0.35,27,2013,41.6,8.8,0.545706371191136
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,34.6,0.47,20,2013,39.4,8.6,0.304709141274238
"17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24.1,16.6,0.01,32.1,2013,28.1,15,0.498614958448753
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24.1,26.6,0,32.1,2013,35.9,15.3,0.285318559556787
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,41.2,0,26,2013,46.3,14.9,0.0332409972299169
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,18.1,0.14,26,2013,26.3,10.8,0.451523545706371
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,-1.1,0.01,28.9,2013,16.2,15.6,0.454293628808864
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22.9,-1.9,0,29.9,2013,14.3,15.5,0.479224376731302
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21,3.3,0,32.1,2013,19,13.6,0.811634349030471
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15.9,16.6,0,19,2013,24.4,10.5,0.490304709141274
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22.9,4.7,0,35,2013,21.7,16.3,0.132963988919668
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,10.8,0,20,2013,27.3,7.4,0.349030470914127
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.9,34.9,0.08,999.9,2013,35.4,4.9,0.445983379501385
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,44,0.03,25.1,2013,45.1,12.4,0.321329639889197
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,40.3,0.02,39,2013,46.5,23.1,0.584487534626039
"30",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27,15.5,0.23,38.1,2013,33.1,18.2,0.534626038781163
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,10.4,0,26,2013,27.6,12.5,0.42382271468144
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17.1,24.5,0.01,22.9,2013,30.7,9.8,0.177285318559557
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20,16.9,0,28,2013,29,15.5,0.476454293628809
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,16.6,0,18.1,2013,28.7,8.2,0.512465373961219
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,30.4,0.02,17.1,2013,34.8,6.1,0.512465373961219
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,13.4,0,19,2013,29.4,10.2,0.401662049861496
"37",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36.9,28.5,0,51.1,2013,34.3,16.3,0.89196675900277
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,49,25.8,1.64,63.9,2013,29.2,35.3,0.0609418282548476
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25.1,14.7,0.06,36.9,2013,24.7,16.4,0.0526315789473684
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21,32,0,28.9,2013,36.4,9.8,0.260387811634349
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18.1,36.6,0.36,27,2013,41.4,11.9,0.32409972299169
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,25.2,0,999.9,2013,36.1,7.7,0.523545706371191
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15.9,29.3,0.11,21,2013,36.6,8.9,0.692520775623269
"44",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11.1,33.2,0,999.9,2013,38.6,6,0.617728531855956
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17.1,35.8,0,21,2013,39.2,8.6,0.188365650969529
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,34,25.6,0.01,49.9,2013,30.9,23.6,0.182825484764543
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28,7.6,0,36.9,2013,24.6,22,0.0470914127423823
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15.9,25.4,99.99,26,2013,36.7,10.6,0.265927977839335
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27,28.9,0.65,35.9,2013,38.7,16.9,0.357340720221607
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,14.1,0.03,29.9,2013,30.6,17.3,0.32409972299169
"51",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21,25.4,0,28.9,2013,35.4,14.2,0.415512465373961
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,29.8,0,999.9,2013,36.3,7,0.38781163434903
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24.1,40.7,1.07,38.1,2013,42.6,17.1,0.124653739612188
