"","weekday_sun","season","temp","dewp","NUM_COLLISIONS"
"1",4,1,38,25.6,0
"2",5,1,27.5,12.1,0.27887323943662
"3",6,1,21.8,7.8,0.473239436619718
"4",7,1,32.2,21.1,0.349295774647887
"5",2,1,37.3,24.5,0.0225352112676056
"6",1,1,35.7,31.3,0.0338028169014084
"7",3,1,35.9,31,0.394366197183099
"8",4,1,39.8,34.1,0.371830985915493
"9",5,1,39.9,37.6,0.298591549295775
"10",6,1,43.5,30.4,0.490140845070423
"11",7,1,38,31.4,0.785915492957746
"12",2,1,42.7,41.5,0.264788732394366
"13",3,1,47.2,47.1,0.453521126760563
"14",4,1,42.3,38.3,0.380281690140845
"15",5,1,41.6,40,0.554929577464789
"16",6,1,39.4,34.6,0.309859154929577
"17",7,1,28.1,16.6,0.507042253521127
"18",2,1,35.9,26.6,0.290140845070423
"19",1,1,46.3,41.2,0.0338028169014084
"20",4,1,26.3,18.1,0.459154929577465
"21",5,1,16.2,-1.1,0.461971830985915
"22",6,1,14.3,-1.9,0.487323943661972
"23",7,1,19,3.3,0.825352112676056
"24",2,1,24.4,16.6,0.498591549295775
"25",1,1,21.7,4.7,0.135211267605634
"26",3,1,27.3,10.8,0.354929577464789
"27",4,1,35.4,34.9,0.453521126760563
"28",5,1,45.1,44,0.326760563380282
"29",6,1,46.5,40.3,0.594366197183099
"30",7,1,33.1,15.5,0.543661971830986
"31",2,1,27.6,10.4,0.430985915492958
"32",1,1,30.7,24.5,0.180281690140845
"33",3,1,29,16.9,0.484507042253521
"34",4,1,28.7,16.6,0.52112676056338
"35",5,1,34.8,30.4,0.52112676056338
"36",6,1,29.4,13.4,0.408450704225352
"37",7,1,34.3,28.5,0.907042253521127
"38",2,1,29.2,25.8,0.0619718309859155
"39",1,1,24.7,14.7,0.0535211267605634
"40",3,1,36.4,32,0.264788732394366
"41",4,1,41.4,36.6,0.329577464788732
"42",5,1,36.1,25.2,0.532394366197183
"43",6,1,36.6,29.3,0.704225352112676
"44",7,1,38.6,33.2,0.628169014084507
"45",2,1,39.2,35.8,0.191549295774648
"46",1,1,30.9,25.6,0.185915492957746
"47",3,1,24.6,7.6,0.047887323943662
"48",4,1,36.7,25.4,0.270422535211268
"49",5,1,38.7,28.9,0.363380281690141
"50",6,1,30.6,14.1,0.329577464788732
"51",7,1,35.4,25.4,0.422535211267606
"52",2,1,36.3,29.8,0.394366197183099
"53",1,1,42.6,40.7,0.126760563380282
"54",3,1,37.5,30.4,0.307042253521127
"55",4,1,35,26.7,0.43943661971831
"56",5,1,44.1,41,0.476056338028169
"57",6,1,41.4,38.9,0.383098591549296
"58",7,2,39.3,34.2,0.625352112676056
"59",2,2,38.2,29.1,0.261971830985915
"60",1,2,37.4,29.3,0.340845070422535
"61",3,2,37,26.4,0.608450704225352
"62",4,2,38.5,29.8,0.411267605633803
"63",5,2,39.1,34.2,0.264788732394366
"64",6,2,38.3,35.2,0.433802816901408
