"","weekday_sun","temp","dewp","NUM_COLLISIONS"
"1",4,38,25.6,0
"2",5,27.5,12.1,0.274238227146814
"3",6,21.8,7.8,0.465373961218837
"4",7,32.2,21.1,0.343490304709141
"5",2,37.3,24.5,0.0221606648199446
"6",1,35.7,31.3,0.0332409972299169
"7",3,35.9,31,0.38781163434903
"8",4,39.8,34.1,0.365650969529086
"9",5,39.9,37.6,0.293628808864266
"10",6,43.5,30.4,0.481994459833795
"11",7,38,31.4,0.772853185595568
"12",2,42.7,41.5,0.260387811634349
"13",3,47.2,47.1,0.445983379501385
"14",4,42.3,38.3,0.373961218836565
"15",5,41.6,40,0.545706371191136
"16",6,39.4,34.6,0.304709141274238
"17",7,28.1,16.6,0.498614958448753
"18",2,35.9,26.6,0.285318559556787
"19",1,46.3,41.2,0.0332409972299169
"20",4,26.3,18.1,0.451523545706371
"21",5,16.2,-1.1,0.454293628808864
"22",6,14.3,-1.9,0.479224376731302
"23",7,19,3.3,0.811634349030471
"24",2,24.4,16.6,0.490304709141274
"25",1,21.7,4.7,0.132963988919668
"26",3,27.3,10.8,0.349030470914127
"27",4,35.4,34.9,0.445983379501385
"28",5,45.1,44,0.321329639889197
"29",6,46.5,40.3,0.584487534626039
"30",7,33.1,15.5,0.534626038781163
"31",2,27.6,10.4,0.42382271468144
"32",1,30.7,24.5,0.177285318559557
"33",3,29,16.9,0.476454293628809
"34",4,28.7,16.6,0.512465373961219
"35",5,34.8,30.4,0.512465373961219
"36",6,29.4,13.4,0.401662049861496
"37",7,34.3,28.5,0.89196675900277
"38",2,29.2,25.8,0.0609418282548476
"39",1,24.7,14.7,0.0526315789473684
"40",3,36.4,32,0.260387811634349
"41",4,41.4,36.6,0.32409972299169
"42",5,36.1,25.2,0.523545706371191
"43",6,36.6,29.3,0.692520775623269
"44",7,38.6,33.2,0.617728531855956
"45",2,39.2,35.8,0.188365650969529
"46",1,30.9,25.6,0.182825484764543
"47",3,24.6,7.6,0.0470914127423823
"48",4,36.7,25.4,0.265927977839335
"49",5,38.7,28.9,0.357340720221607
"50",6,30.6,14.1,0.32409972299169
"51",7,35.4,25.4,0.415512465373961
"52",2,36.3,29.8,0.38781163434903
"53",1,42.6,40.7,0.124653739612188
"54",3,37.5,30.4,0.301939058171745
"55",4,35,26.7,0.43213296398892
"56",5,44.1,41,0.46814404432133
"57",6,41.4,38.9,0.376731301939058
"58",7,39.3,34.2,0.614958448753463
"59",2,38.2,29.1,0.257617728531856
"60",1,37.4,29.3,0.335180055401662
"61",3,37,26.4,0.598337950138504
"62",4,38.5,29.8,0.404432132963989
"63",5,39.1,34.2,0.260387811634349
"64",6,38.3,35.2,0.426592797783933
"65",2,39.2,31.7,0.520775623268698
"66",1,39,31.7,0.0941828254847645
"67",3,39.9,34.7,0.390581717451524
"68",4,46,43.9,0.45983379501385
"69",5,46.3,41.1,0.706371191135734
"70",6,37,25.3,0.487534626038781
"71",7,31.2,13.7,0.626038781163435
"72",2,37.1,22,0.38781163434903
"73",1,34.8,21.5,0.124653739612188
"74",3,32.1,15.5,0.670360110803324
"75",4,39.6,35.5,0.493074792243767
"76",5,36.5,25.7,0.440443213296399
"77",6,38.3,29.9,0.351800554016621
"78",7,34.3,27.6,0.617728531855956
"79",2,38.5,21.7,0.296398891966759
"80",1,39.1,23.3,0.193905817174515
"81",3,38.1,29.8,0.32409972299169
"82",4,39.8,28.7,0.121883656509695
"83",5,41.7,30.3,0.166204986149584
"84",6,42.5,34.5,0.465373961218837
"85",7,45.2,34.3,0.385041551246537
"86",2,44.5,35.1,0.365650969529086
"87",1,43,38.1,0.124653739612188
"88",3,47,42.9,0.271468144044321
"89",4,39.6,18.8,0.155124653739612
"90",5,42.6,15.7,0.418282548476454
"91",6,39,18.8,0.512465373961219
"92",7,42.9,38.5,0.556786703601108
"93",2,40.2,22,0.415512465373961
"94",1,39.7,28.6,0.193905817174515
"95",3,50,41.6,0.556786703601108
"96",4,49.4,43.4,0.642659279778393
"97",5,46.5,42,0.551246537396122
"98",6,46.2,41,0.376731301939058
"99",7,43.6,35.7,0.742382271468144
"100",2,44.4,39.7,0.481994459833795
"101",1,46.1,38.4,0.25207756232687
"102",3,46.1,34.2,0.614958448753463
"103",4,46,40.5,0.506925207756233
"104",5,52.1,42.7,0.426592797783933
"105",6,46.5,37.3,0.476454293628809
"106",7,52.6,49.4,0.523545706371191
"107",2,52.7,49.6,0.418282548476454
"108",1,45.1,28.5,0.249307479224377
"109",3,43,29.8,0.509695290858726
"110",4,44.6,40,0.365650969529086
"111",5,47.5,43.6,0.601108033240997
"112",6,50.8,45.1,0.559556786703601
"113",7,49.5,37.8,0.814404432132964
"114",2,46.6,34.7,0.376731301939058
"115",1,48,38.5,0.163434903047091
"116",3,49.7,37.9,0.601108033240997
"117",4,51,30.2,0.54016620498615
"118",5,49.9,41.4,0.54016620498615
"119",6,49.9,42,0.565096952908587
"120",7,46.9,39.7,0.844875346260388
"121",2,47.8,38.7,0.551246537396122
"122",1,47.8,39.9,0.371191135734072
"123",3,49.2,43.4,0.498614958448753
"124",4,54.4,49.9,0.584487534626039
"125",5,59.4,54.7,0.662049861495845
"126",6,57.2,53.6,0.61218836565097
"127",7,56.1,51,0.878116343490305
"128",2,56.2,53.1,0.393351800554017
"129",1,56.2,53.1,0.404432132963989
"130",3,53.1,37.1,0.542936288088643
"131",4,51,35.3,0.509695290858726
"132",5,53.1,44.5,0.418282548476454
"133",6,57.7,50.1,0.493074792243767
"134",7,58.2,43.9,0.997229916897507
"135",2,54.6,45.2,0.346260387811634
"136",1,56.3,49.4,0.451523545706371
"137",3,57.5,54.5,0.764542936288089
"138",4,58,55.5,0.875346260387812
"139",5,57.8,55.1,0.523545706371191
"140",6,61.5,57.6,0.980609418282548
"141",7,61,58.7,0.795013850415512
"142",2,55.6,52.3,0.368421052631579
"143",1,50.2,41.8,0.204986149584488
"144",3,56.9,42.8,0.10803324099723
"145",4,56.6,49.6,0.844875346260388
"146",5,57.9,54.7,0.534626038781163
"147",6,60.9,56.2,0.842105263157895
"148",7,62,56.8,0.983379501385042
"149",2,60.9,57,0.692520775623269
"150",1,61.8,58.6,0.293628808864266
"151",3,60.8,59.8,0.903047091412742
"152",4,61.8,51,0.642659279778393
"153",5,58.6,45.6,0.60387811634349
"154",6,58.6,51,0.620498614958449
"155",2,62.3,59.6,0.526315789473684
