"","weekday_sun","season","temp","dewp","NUM_COLLISIONS"
"1",4,1,38,25.6,0
"2",5,1,27.5,12.1,0.274238227146814
"3",6,1,21.8,7.8,0.465373961218837
"4",7,1,32.2,21.1,0.343490304709141
"5",2,1,37.3,24.5,0.0221606648199446
"6",1,1,35.7,31.3,0.0332409972299169
"7",3,1,35.9,31,0.38781163434903
"8",4,1,39.8,34.1,0.365650969529086
"9",5,1,39.9,37.6,0.293628808864266
"10",6,1,43.5,30.4,0.481994459833795
"11",7,1,38,31.4,0.772853185595568
"12",2,1,42.7,41.5,0.260387811634349
"13",3,1,47.2,47.1,0.445983379501385
"14",4,1,42.3,38.3,0.373961218836565
"15",5,1,41.6,40,0.545706371191136
"16",6,1,39.4,34.6,0.304709141274238
"17",7,1,28.1,16.6,0.498614958448753
"18",2,1,35.9,26.6,0.285318559556787
"19",1,1,46.3,41.2,0.0332409972299169
"20",4,1,26.3,18.1,0.451523545706371
"21",5,1,16.2,-1.1,0.454293628808864
"22",6,1,14.3,-1.9,0.479224376731302
"23",7,1,19,3.3,0.811634349030471
"24",2,1,24.4,16.6,0.490304709141274
"25",1,1,21.7,4.7,0.132963988919668
"26",3,1,27.3,10.8,0.349030470914127
"27",4,1,35.4,34.9,0.445983379501385
"28",5,1,45.1,44,0.321329639889197
"29",6,1,46.5,40.3,0.584487534626039
"30",7,1,33.1,15.5,0.534626038781163
"31",2,1,27.6,10.4,0.42382271468144
"32",1,1,30.7,24.5,0.177285318559557
"33",3,1,29,16.9,0.476454293628809
"34",4,1,28.7,16.6,0.512465373961219
"35",5,1,34.8,30.4,0.512465373961219
"36",6,1,29.4,13.4,0.401662049861496
"37",7,1,34.3,28.5,0.89196675900277
"38",2,1,29.2,25.8,0.0609418282548476
"39",1,1,24.7,14.7,0.0526315789473684
"40",3,1,36.4,32,0.260387811634349
"41",4,1,41.4,36.6,0.32409972299169
"42",5,1,36.1,25.2,0.523545706371191
"43",6,1,36.6,29.3,0.692520775623269
"44",7,1,38.6,33.2,0.617728531855956
"45",2,1,39.2,35.8,0.188365650969529
"46",1,1,30.9,25.6,0.182825484764543
"47",3,1,24.6,7.6,0.0470914127423823
"48",4,1,36.7,25.4,0.265927977839335
"49",5,1,38.7,28.9,0.357340720221607
"50",6,1,30.6,14.1,0.32409972299169
"51",7,1,35.4,25.4,0.415512465373961
"52",2,1,36.3,29.8,0.38781163434903
"53",1,1,42.6,40.7,0.124653739612188
"54",3,1,37.5,30.4,0.301939058171745
"55",4,1,35,26.7,0.43213296398892
"56",5,1,44.1,41,0.46814404432133
"57",6,1,41.4,38.9,0.376731301939058
"58",7,2,39.3,34.2,0.614958448753463
"59",2,2,38.2,29.1,0.257617728531856
"60",1,2,37.4,29.3,0.335180055401662
"61",3,2,37,26.4,0.598337950138504
"62",4,2,38.5,29.8,0.404432132963989
"63",5,2,39.1,34.2,0.260387811634349
"64",6,2,38.3,35.2,0.426592797783933
"65",2,2,39.2,31.7,0.520775623268698
"66",1,2,39,31.7,0.0941828254847645
"67",3,2,39.9,34.7,0.390581717451524
"68",4,2,46,43.9,0.45983379501385
"69",5,2,46.3,41.1,0.706371191135734
"70",6,2,37,25.3,0.487534626038781
"71",7,2,31.2,13.7,0.626038781163435
"72",2,2,37.1,22,0.38781163434903
"73",1,2,34.8,21.5,0.124653739612188
"74",3,2,32.1,15.5,0.670360110803324
"75",4,2,39.6,35.5,0.493074792243767
"76",5,2,36.5,25.7,0.440443213296399
"77",6,2,38.3,29.9,0.351800554016621
"78",7,2,34.3,27.6,0.617728531855956
"79",2,2,38.5,21.7,0.296398891966759
"80",1,2,39.1,23.3,0.193905817174515
"81",3,2,38.1,29.8,0.32409972299169
"82",4,2,39.8,28.7,0.121883656509695
"83",5,2,41.7,30.3,0.166204986149584
"84",6,2,42.5,34.5,0.465373961218837
"85",7,2,45.2,34.3,0.385041551246537
"86",2,2,44.5,35.1,0.365650969529086
"87",1,2,43,38.1,0.124653739612188
"88",3,2,47,42.9,0.271468144044321
"89",4,2,39.6,18.8,0.155124653739612
"90",5,2,42.6,15.7,0.418282548476454
"91",6,2,39,18.8,0.512465373961219
"92",7,2,42.9,38.5,0.556786703601108
"93",2,2,40.2,22,0.415512465373961
"94",1,2,39.7,28.6,0.193905817174515
"95",3,2,50,41.6,0.556786703601108
"96",4,2,49.4,43.4,0.642659279778393
"97",5,2,46.5,42,0.551246537396122
"98",6,2,46.2,41,0.376731301939058
"99",7,2,43.6,35.7,0.742382271468144
"100",2,2,44.4,39.7,0.481994459833795
"101",1,2,46.1,38.4,0.25207756232687
"102",3,2,46.1,34.2,0.614958448753463
"103",4,2,46,40.5,0.506925207756233
"104",5,2,52.1,42.7,0.426592797783933
"105",6,2,46.5,37.3,0.476454293628809
"106",7,2,52.6,49.4,0.523545706371191
"107",2,2,52.7,49.6,0.418282548476454
"108",1,2,45.1,28.5,0.249307479224377
"109",3,2,43,29.8,0.509695290858726
"110",4,2,44.6,40,0.365650969529086
"111",5,2,47.5,43.6,0.601108033240997
"112",6,2,50.8,45.1,0.559556786703601
"113",7,2,49.5,37.8,0.814404432132964
"114",2,2,46.6,34.7,0.376731301939058
"115",1,2,48,38.5,0.163434903047091
"116",3,2,49.7,37.9,0.601108033240997
"117",4,2,51,30.2,0.54016620498615
"118",5,2,49.9,41.4,0.54016620498615
"119",6,2,49.9,42,0.565096952908587
"120",7,2,46.9,39.7,0.844875346260388
"121",2,2,47.8,38.7,0.551246537396122
"122",1,2,47.8,39.9,0.371191135734072
"123",3,2,49.2,43.4,0.498614958448753
"124",4,2,54.4,49.9,0.584487534626039
"125",5,2,59.4,54.7,0.662049861495845
"126",6,2,57.2,53.6,0.61218836565097
"127",7,2,56.1,51,0.878116343490305
"128",2,2,56.2,53.1,0.393351800554017
"129",1,2,56.2,53.1,0.404432132963989
"130",3,2,53.1,37.1,0.542936288088643
"131",4,2,51,35.3,0.509695290858726
"132",5,2,53.1,44.5,0.418282548476454
"133",6,2,57.7,50.1,0.493074792243767
"134",7,2,58.2,43.9,0.997229916897507
"135",2,2,54.6,45.2,0.346260387811634
"136",1,2,56.3,49.4,0.451523545706371
"137",3,2,57.5,54.5,0.764542936288089
"138",4,2,58,55.5,0.875346260387812
"139",5,2,57.8,55.1,0.523545706371191
"140",6,2,61.5,57.6,0.980609418282548
"141",7,2,61,58.7,0.795013850415512
"142",2,2,55.6,52.3,0.368421052631579
"143",1,2,50.2,41.8,0.204986149584488
"144",3,2,56.9,42.8,0.10803324099723
"145",4,2,56.6,49.6,0.844875346260388
"146",5,2,57.9,54.7,0.534626038781163
"147",6,2,60.9,56.2,0.842105263157895
"148",7,2,62,56.8,0.983379501385042
"149",2,4,60.9,57,0.692520775623269
"150",1,4,61.8,58.6,0.293628808864266
"151",3,4,60.8,59.8,0.903047091412742
"152",4,4,61.8,51,0.642659279778393
"153",5,4,58.6,45.6,0.60387811634349
"154",6,4,58.6,51,0.620498614958449
"155",2,4,62.3,59.6,0.526315789473684
"156",1,4,63.6,57.2,0.421052631578947
"157",3,4,62.2,56.1,0.673130193905817
"158",4,4,60.8,59.5,0.703601108033241
"159",5,4,64,55.9,0.64819944598338
"160",6,4,60.8,52.4,0.42382271468144
"161",7,4,55,50.7,0.864265927977839
"162",2,4,62.4,52.3,0.595567867036011
"163",1,4,61.3,57,0.265927977839335
"164",3,4,63.2,59.2,0.645429362880886
"165",4,4,60.9,58.6,0.642659279778393
"166",5,4,62.6,54.4,0.667590027700831
"167",6,4,60.6,53.1,0.831024930747922
"168",7,4,62,56.1,0.85595567867036
"169",2,4,63.4,58.5,0.60387811634349
"170",1,4,64.9,60.9,0.343490304709141
"171",3,4,66.8,64.5,0.828254847645429
"172",4,4,69.7,63.8,0.739612188365651
"173",5,4,69.5,64.6,0.664819944598338
"174",6,4,65.5,64,0.601108033240997
"175",7,4,66.1,64.8,0.628808864265928
"176",2,4,66.2,64.9,0.581717451523546
"177",1,4,65.4,64.2,0.116343490304709
"178",3,4,66.7,65.3,0.698060941828255
"179",4,4,67.7,65.5,0.609418282548476
"180",5,4,68.7,67.2,0.703601108033241
"181",6,4,69.8,68,0.157894736842105
"182",7,4,71.6,68.2,0.54016620498615
"183",2,4,73,69.2,0.373961218836565
"184",1,4,74.4,69.8,0.260387811634349
"185",3,4,72.6,68.9,0.653739612188366
"186",4,4,72.7,69.3,0.559556786703601
"187",5,4,71.1,69.7,0.645429362880886
"188",6,4,71.8,69.7,0.46814404432133
"189",7,4,69.4,67.8,0.60387811634349
"190",2,4,67.9,66.3,0.537396121883656
"191",1,4,72.9,70.5,0.249307479224377
"192",3,4,76.3,71.2,0.554016620498615
"193",4,4,77.4,68.4,0.556786703601108
"194",5,4,72.9,65.8,0.631578947368421
"195",6,4,75.6,69.6,0.706371191135734
"196",7,4,73.9,71.4,0.875346260387812
"197",2,4,74.5,71.7,0.470914127423823
"198",1,4,72.8,69.1,0.182825484764543
"199",3,4,68.3,65.9,0.581717451523546
"200",4,4,72.1,70,0.526315789473684
"201",5,4,74.9,71.6,0.526315789473684
"202",6,4,67.7,62.8,0.349030470914127
"203",7,4,66.1,64.4,0.653739612188366
"204",2,4,69.1,66.1,0.373961218836565
"205",1,4,69.8,68,0.28808864265928
"206",3,4,69.2,67.1,0.598337950138504
"207",4,4,71.2,64.3,0.562326869806094
"208",5,4,70.6,62.6,0.476454293628809
"209",6,4,68.9,64.7,0.725761772853186
"210",7,4,69.7,66,0.678670360110803
