day,year,mo,da,collision_date,sndp,NUM_COLLISIONS
4,2012,07,26,2012-07-26,999.9,604
3,2012,07,11,2012-07-11,999.9,565
4,2012,07,19,2012-07-19,999.9,522
1,2012,07,23,2012-07-23,999.9,505
6,2012,07,14,2012-07-14,999.9,536
7,2012,07,22,2012-07-22,999.9,498
4,2012,07,05,2012-07-05,999.9,591
6,2012,07,21,2012-07-21,999.9,528
3,2012,07,04,2012-07-04,999.9,432
6,2012,07,07,2012-07-07,999.9,490
5,2012,07,06,2012-07-06,999.9,638
2,2012,07,17,2012-07-17,999.9,648
5,2012,07,20,2012-07-20,999.9,604
2,2012,07,31,2012-07-31,999.9,540
7,2012,07,15,2012-07-15,999.9,494
3,2012,07,18,2012-07-18,999.9,559
1,2012,07,16,2012-07-16,999.9,528
1,2012,07,02,2012-07-02,999.9,564
5,2012,07,27,2012-07-27,999.9,637
3,2012,07,25,2012-07-25,999.9,612
2,2012,07,24,2012-07-24,999.9,574
6,2012,07,28,2012-07-28,999.9,513
7,2012,07,01,2012-07-01,999.9,538
1,2012,07,09,2012-07-09,999.9,533
7,2012,07,08,2012-07-08,999.9,464
4,2012,07,12,2012-07-12,999.9,577
7,2012,07,29,2012-07-29,999.9,376
1,2012,07,30,2012-07-30,999.9,530
2,2012,07,03,2012-07-03,999.9,664
2,2012,07,10,2012-07-10,999.9,524
5,2012,07,13,2012-07-13,999.9,603
5,2012,08,10,2012-08-10,999.9,617
6,2012,08,25,2012-08-25,999.9,474
1,2012,08,13,2012-08-13,999.9,504
3,2012,08,15,2012-08-15,999.9,602
1,2012,08,06,2012-08-06,999.9,593
6,2012,08,11,2012-08-11,999.9,507
7,2012,08,12,2012-08-12,999.9,505
5,2012,08,24,2012-08-24,999.9,601
1,2012,08,27,2012-08-27,999.9,548
2,2012,08,28,2012-08-28,999.9,587
2,2012,08,21,2012-08-21,999.9,482
4,2012,08,02,2012-08-02,999.9,570
5,2012,08,03,2012-08-03,999.9,589
2,2012,08,07,2012-08-07,999.9,547
4,2012,08,30,2012-08-30,999.9,618
3,2012,08,29,2012-08-29,999.9,550
7,2012,08,05,2012-08-05,999.9,518
5,2012,08,31,2012-08-31,999.9,701
3,2012,08,08,2012-08-08,999.9,528
7,2012,08,19,2012-08-19,999.9,467
6,2012,08,18,2012-08-18,999.9,540
6,2012,08,04,2012-08-04,999.9,568
1,2012,08,20,2012-08-20,999.9,473
4,2012,08,23,2012-08-23,999.9,574
2,2012,08,14,2012-08-14,999.9,520
4,2012,08,09,2012-08-09,999.9,581
5,2012,08,17,2012-08-17,999.9,574
3,2012,08,01,2012-08-01,999.9,615
4,2012,08,16,2012-08-16,999.9,613
3,2012,08,22,2012-08-22,999.9,504
7,2012,08,26,2012-08-26,999.9,471
7,2012,09,30,2012-09-30,999.9,449
2,2012,09,25,2012-09-25,999.9,593
1,2012,09,24,2012-09-24,999.9,562
5,2012,09,14,2012-09-14,999.9,609
2,2012,09,18,2012-09-18,999.9,556
4,2012,09,06,2012-09-06,999.9,572
4,2012,09,27,2012-09-27,999.9,620
1,2012,09,03,2012-09-03,999.9,373
3,2012,09,05,2012-09-05,999.9,601
1,2012,09,17,2012-09-17,999.9,452
1,2012,09,10,2012-09-10,999.9,637
6,2012,09,15,2012-09-15,999.9,557
3,2012,09,12,2012-09-12,999.9,651
6,2012,09,29,2012-09-29,999.9,485
7,2012,09,23,2012-09-23,999.9,480
6,2012,09,01,2012-09-01,999.9,515
3,2012,09,19,2012-09-19,999.9,612
2,2012,09,11,2012-09-11,999.9,521
5,2012,09,28,2012-09-28,999.9,703
5,2012,09,21,2012-09-21,999.9,654
5,2012,09,07,2012-09-07,999.9,680
4,2012,09,20,2012-09-20,999.9,522
7,2012,09,16,2012-09-16,999.9,458
4,2012,09,13,2012-09-13,999.9,632
3,2012,09,26,2012-09-26,999.9,404
7,2012,09,09,2012-09-09,999.9,464
2,2012,09,04,2012-09-04,999.9,606
6,2012,09,22,2012-09-22,999.9,547
6,2012,09,08,2012-09-08,999.9,598
7,2012,09,02,2012-09-02,999.9,421
1,2012,10,15,2012-10-15,999.9,607
2,2012,10,16,2012-10-16,999.9,602
3,2012,10,31,2012-10-31,999.9,549
1,2012,10,01,2012-10-01,999.9,555
5,2012,10,12,2012-10-12,999.9,594
3,2012,10,17,2012-10-17,999.9,615
2,2012,10,30,2012-10-30,999.9,372
1,2012,10,08,2012-10-08,999.9,376
4,2012,10,04,2012-10-04,999.9,554
6,2012,10,20,2012-10-20,999.9,587
5,2012,10,19,2012-10-19,999.9,738
7,2012,10,21,2012-10-21,999.9,426
5,2012,10,26,2012-10-26,999.9,598
7,2012,10,07,2012-10-07,999.9,481
6,2012,10,13,2012-10-13,999.9,547
4,2012,10,11,2012-10-11,999.9,657
3,2012,10,03,2012-10-03,999.9,502
2,2012,10,23,2012-10-23,999.9,522
7,2012,10,14,2012-10-14,999.9,517
3,2012,10,24,2012-10-24,999.9,494
6,2012,10,06,2012-10-06,999.9,500
4,2012,10,25,2012-10-25,999.9,511
4,2012,10,18,2012-10-18,999.9,630
2,2012,10,09,2012-10-09,999.9,570
7,2012,10,28,2012-10-28,999.9,403
3,2012,10,10,2012-10-10,999.9,640
5,2012,10,05,2012-10-05,999.9,693
1,2012,10,22,2012-10-22,999.9,608
6,2012,10,27,2012-10-27,999.9,524
1,2012,10,29,2012-10-29,999.9,298
2,2012,10,02,2012-10-02,999.9,593
1,2012,11,12,2012-11-12,999.9,547
1,2012,11,26,2012-11-26,999.9,563
6,2012,11,17,2012-11-17,999.9,542
7,2012,11,04,2012-11-04,999.9,344
1,2012,11,19,2012-11-19,999.9,585
1,2012,11,05,2012-11-05,999.9,479
4,2012,11,22,2012-11-22,999.9,384
7,2012,11,11,2012-11-11,999.9,526
6,2012,11,03,2012-11-03,999.9,307
2,2012,11,20,2012-11-20,999.9,671
6,2012,11,10,2012-11-10,2.0,444
4,2012,11,15,2012-11-15,999.9,623
7,2012,11,25,2012-11-25,999.9,415
3,2012,11,07,2012-11-07,2.0,718
6,2012,11,24,2012-11-24,999.9,458
2,2012,11,13,2012-11-13,999.9,648
4,2012,11,29,2012-11-29,999.9,515
5,2012,11,09,2012-11-09,1.2,688
2,2012,11,27,2012-11-27,999.9,583
3,2012,11,14,2012-11-14,999.9,625
5,2012,11,23,2012-11-23,999.9,481
3,2012,11,28,2012-11-28,999.9,512
4,2012,11,01,2012-11-01,999.9,439
5,2012,11,02,2012-11-02,999.9,345
2,2012,11,06,2012-11-06,999.9,514
4,2012,11,08,2012-11-08,3.1,550
5,2012,11,16,2012-11-16,999.9,672
7,2012,11,18,2012-11-18,999.9,446
3,2012,11,21,2012-11-21,999.9,689
5,2012,11,30,2012-11-30,999.9,576
3,2012,12,19,2012-12-19,999.9,590
4,2012,12,27,2012-12-27,999.9,525
6,2012,12,29,2012-12-29,999.9,442
7,2012,12,30,2012-12-30,999.9,411
2,2012,12,25,2012-12-25,999.9,354
6,2012,12,01,2012-12-01,999.9,480
5,2012,12,14,2012-12-14,999.9,648
1,2012,12,10,2012-12-10,999.9,619
6,2012,12,15,2012-12-15,999.9,523
4,2012,12,06,2012-12-06,999.9,620
5,2012,12,21,2012-12-21,999.9,751
4,2012,12,13,2012-12-13,999.9,545
6,2012,12,08,2012-12-08,999.9,580
2,2012,12,04,2012-12-04,999.9,621
3,2012,12,26,2012-12-26,999.9,531
1,2012,12,17,2012-12-17,999.9,649
5,2012,12,07,2012-12-07,999.9,714
7,2012,12,09,2012-12-09,999.9,544
1,2012,12,24,2012-12-24,999.9,518
3,2012,12,05,2012-12-05,999.9,514
2,2012,12,11,2012-12-11,999.9,578
5,2012,12,28,2012-12-28,999.9,557
1,2012,12,03,2012-12-03,999.9,621
6,2012,12,22,2012-12-22,999.9,542
1,2012,12,31,2012-12-31,999.9,482
7,2012,12,16,2012-12-16,999.9,500
2,2012,12,18,2012-12-18,999.9,645
3,2012,12,12,2012-12-12,999.9,550
7,2012,12,02,2012-12-02,999.9,455
4,2012,12,20,2012-12-20,999.9,606
7,2012,12,23,2012-12-23,999.9,408
5,2013,01,18,2013-01-18,999.9,561
7,2013,01,20,2013-01-20,999.9,393
6,2013,01,05,2013-01-05,999.9,389
4,2013,01,10,2013-01-10,999.9,555
2,2013,01,01,2013-01-01,999.9,381
3,2013,01,16,2013-01-16,999.9,578
4,2013,01,31,2013-01-31,999.9,592
2,2013,01,29,2013-01-29,999.9,542
3,2013,01,23,2013-01-23,999.9,545
1,2013,01,28,2013-01-28,999.9,507
1,2013,01,07,2013-01-07,999.9,521
7,2013,01,06,2013-01-06,999.9,393
5,2013,01,11,2013-01-11,999.9,660
2,2013,01,22,2013-01-22,999.9,544
6,2013,01,19,2013-01-19,999.9,484
2,2013,01,15,2013-01-15,999.9,516
6,2013,01,26,2013-01-26,1.2,558
3,2013,01,30,2013-01-30,999.9,497
4,2013,01,17,2013-01-17,999.9,491
7,2013,01,13,2013-01-13,999.9,373
1,2013,01,14,2013-01-14,999.9,542
4,2013,01,24,2013-01-24,999.9,554
2,2013,01,08,2013-01-08,999.9,513
3,2013,01,09,2013-01-09,999.9,487
4,2013,01,03,2013-01-03,999.9,549
5,2013,01,04,2013-01-04,999.9,505
3,2013,01,02,2013-01-02,999.9,480
6,2013,01,12,2013-01-12,999.9,475
5,2013,01,25,2013-01-25,999.9,674
1,2013,01,21,2013-01-21,999.9,355
7,2013,01,27,2013-01-27,1.2,429
5,2013,02,08,2013-02-08,999.9,703
1,2013,02,25,2013-02-25,999.9,490
1,2013,02,18,2013-02-18,999.9,398
6,2013,02,23,2013-02-23,999.9,521
2,2013,02,12,2013-02-12,1.2,498
7,2013,02,17,2013-02-17,999.9,447
5,2013,02,22,2013-02-22,999.9,531
7,2013,02,24,2013-02-24,999.9,426
6,2013,02,02,2013-02-02,999.9,534
6,2013,02,16,2013-02-16,999.9,449
4,2013,02,07,2013-02-07,999.9,526
5,2013,02,15,2013-02-15,999.9,604
3,2013,02,06,2013-02-06,999.9,566
2,2013,02,26,2013-02-26,999.9,537
3,2013,02,20,2013-02-20,999.9,510
1,2013,02,04,2013-02-04,1.2,553
7,2013,02,03,2013-02-03,1.2,445
4,2013,02,28,2013-02-28,999.9,517
3,2013,02,13,2013-02-13,2.0,570
3,2013,02,27,2013-02-27,999.9,550
1,2013,02,11,2013-02-11,3.1,475
4,2013,02,21,2013-02-21,999.9,498
5,2013,02,01,2013-02-01,999.9,574
2,2013,02,05,2013-02-05,999.9,566
6,2013,02,09,2013-02-09,5.9,403
4,2013,02,14,2013-02-14,999.9,631
2,2013,02,19,2013-02-19,999.9,477
7,2013,02,10,2013-02-10,5.1,400
7,2013,03,17,2013-03-17,999.9,426
7,2013,03,24,2013-03-24,999.9,451
7,2013,03,10,2013-03-10,1.2,415
5,2013,03,29,2013-03-29,999.9,520
4,2013,03,28,2013-03-28,999.9,549
3,2013,03,06,2013-03-06,999.9,475
5,2013,03,08,2013-03-08,2.0,851
4,2013,03,07,2013-03-07,999.9,535
6,2013,03,23,2013-03-23,999.9,488
6,2013,03,09,2013-03-09,1.2,569
6,2013,03,02,2013-03-02,999.9,474
2,2013,03,12,2013-03-12,999.9,547
1,2013,03,25,2013-03-25,999.9,498
1,2013,03,18,2013-03-18,999.9,623
1,2013,03,11,2013-03-11,999.9,522
7,2013,03,31,2013-03-31,999.9,426
2,2013,03,05,2013-03-05,999.9,527
3,2013,03,13,2013-03-13,999.9,636
2,2013,03,19,2013-03-19,1.2,559
7,2013,03,03,2013-03-03,999.9,502
3,2013,03,27,2013-03-27,999.9,441
2,2013,03,26,2013-03-26,999.9,425
6,2013,03,16,2013-03-16,999.9,521
5,2013,03,01,2013-03-01,999.9,603
5,2013,03,15,2013-03-15,999.9,607
3,2013,03,20,2013-03-20,999.9,540
4,2013,03,21,2013-03-21,999.9,508
1,2013,03,04,2013-03-04,999.9,597
6,2013,03,30,2013-03-30,999.9,513
4,2013,03,14,2013-03-14,999.9,557
5,2013,03,22,2013-03-22,999.9,604
2,2013,04,23,2013-04-23,999.9,513
5,2013,04,05,2013-04-05,999.9,582
1,2013,04,15,2013-04-15,999.9,603
3,2013,04,17,2013-04-17,999.9,535
4,2013,04,04,2013-04-04,999.9,566
6,2013,04,13,2013-04-13,999.9,555
5,2013,04,26,2013-04-26,999.9,675
6,2013,04,06,2013-04-06,999.9,531
3,2013,04,10,2013-04-10,999.9,580
1,2013,04,01,2013-04-01,999.9,479
6,2013,04,27,2013-04-27,999.9,517
3,2013,04,24,2013-04-24,999.9,598
7,2013,04,14,2013-04-14,999.9,472
2,2013,04,30,2013-04-30,999.9,576
3,2013,04,03,2013-04-03,999.9,532
1,2013,04,29,2013-04-29,999.9,598
4,2013,04,25,2013-04-25,999.9,583
1,2013,04,22,2013-04-22,999.9,565
7,2013,04,28,2013-04-28,999.9,440
4,2013,04,18,2013-04-18,999.9,553
2,2013,04,02,2013-04-02,999.9,437
5,2013,04,12,2013-04-12,999.9,649
6,2013,04,20,2013-04-20,999.9,532
5,2013,04,19,2013-04-19,999.9,570
4,2013,04,11,2013-04-11,999.9,517
2,2013,04,09,2013-04-09,999.9,613
7,2013,04,21,2013-04-21,999.9,471
2,2013,04,16,2013-04-16,999.9,564
1,2013,04,08,2013-04-08,999.9,582
7,2013,04,07,2013-04-07,999.9,451
4,2013,05,02,2013-05-02,999.9,585
5,2013,05,10,2013-05-10,999.9,698
7,2013,05,26,2013-05-26,999.9,455
6,2013,05,04,2013-05-04,999.9,580
4,2013,05,09,2013-05-09,999.9,602
7,2013,05,12,2013-05-12,999.9,527
2,2013,05,14,2013-05-14,999.9,565
5,2013,05,24,2013-05-24,999.9,668
2,2013,05,07,2013-05-07,999.9,592
3,2013,05,22,2013-05-22,999.9,570
1,2013,05,27,2013-05-27,999.9,420
3,2013,05,29,2013-05-29,999.9,574
1,2013,05,20,2013-05-20,999.9,657
2,2013,05,21,2013-05-21,999.9,697
1,2013,05,13,2013-05-13,999.9,577
4,2013,05,16,2013-05-16,999.9,559
3,2013,05,01,2013-05-01,999.9,576
6,2013,05,11,2013-05-11,999.9,523
7,2013,05,19,2013-05-19,999.9,544
5,2013,05,03,2013-05-03,999.9,686
2,2013,05,28,2013-05-28,999.9,686
6,2013,05,25,2013-05-25,999.9,514
4,2013,05,23,2013-05-23,999.9,735
5,2013,05,31,2013-05-31,999.9,736
3,2013,05,08,2013-05-08,999.9,620
5,2013,05,17,2013-05-17,999.9,741
7,2013,05,05,2013-05-05,999.9,515
1,2013,05,06,2013-05-06,999.9,561
3,2013,05,15,2013-05-15,999.9,532
4,2013,05,30,2013-05-30,999.9,685
6,2013,05,18,2013-05-18,999.9,506
1,2013,06,03,2013-06-03,999.9,707
6,2013,06,01,2013-06-01,999.9,631
1,2013,06,10,2013-06-10,999.9,624
1,2013,06,24,2013-06-24,999.9,680
6,2013,06,22,2013-06-22,999.9,599
5,2013,06,14,2013-06-14,999.9,693
3,2013,06,12,2013-06-12,999.9,615
4,2013,06,13,2013-06-13,999.9,534
3,2013,06,26,2013-06-26,999.9,621
1,2013,06,17,2013-06-17,999.9,614
7,2013,06,23,2013-06-23,999.9,505
2,2013,06,04,2013-06-04,999.9,613
7,2013,06,30,2013-06-30,999.9,423
5,2013,06,28,2013-06-28,999.9,608
2,2013,06,11,2013-06-11,999.9,635
6,2013,06,29,2013-06-29,999.9,591
4,2013,06,06,2013-06-06,999.9,605
7,2013,06,09,2013-06-09,999.9,533
6,2013,06,15,2013-06-15,999.9,596
7,2013,06,02,2013-06-02,999.9,487
2,2013,06,25,2013-06-25,999.9,648
3,2013,06,19,2013-06-19,999.9,622
5,2013,06,07,2013-06-07,999.9,791
4,2013,06,27,2013-06-27,999.9,598
3,2013,06,05,2013-06-05,999.9,599
4,2013,06,20,2013-06-20,999.9,681
6,2013,06,08,2013-06-08,999.9,571
5,2013,06,21,2013-06-21,999.9,690
2,2013,06,18,2013-06-18,999.9,613
7,2013,06,16,2013-06-16,999.9,477
3,2013,07,24,2013-07-24,999.9,571
7,2013,07,21,2013-07-21,999.9,447
1,2013,07,22,2013-07-22,999.9,591
1,2013,07,08,2013-07-08,999.9,617
6,2013,07,06,2013-07-06,999.9,516
4,2013,07,11,2013-07-11,999.9,550
1,2013,07,29,2013-07-29,999.9,597
2,2013,07,30,2013-07-30,999.9,584
3,2013,07,10,2013-07-10,999.9,614
6,2013,07,20,2013-07-20,999.9,551
3,2013,07,03,2013-07-03,999.9,635
5,2013,07,26,2013-07-26,999.9,617
5,2013,07,05,2013-07-05,999.9,576
5,2013,07,19,2013-07-19,999.9,697
2,2013,07,23,2013-07-23,999.9,571
6,2013,07,13,2013-07-13,999.9,575
6,2013,07,27,2013-07-27,999.9,516
4,2013,07,18,2013-07-18,999.9,636
4,2013,07,04,2013-07-04,999.9,438
3,2013,07,31,2013-07-31,999.9,553
7,2013,07,07,2013-07-07,999.9,475
7,2013,07,14,2013-07-14,999.9,471
2,2013,07,16,2013-07-16,999.9,582
7,2013,07,28,2013-07-28,999.9,485
2,2013,07,09,2013-07-09,999.9,583
2,2013,07,02,2013-07-02,999.9,601
4,2013,07,25,2013-07-25,999.9,507
1,2013,07,01,2013-07-01,999.9,633
1,2013,07,15,2013-07-15,999.9,581
3,2013,07,17,2013-07-17,999.9,609
5,2013,07,12,2013-07-12,999.9,599
2,2013,08,20,2013-08-20,999.9,542
2,2013,08,06,2013-08-06,999.9,543
7,2013,08,11,2013-08-11,999.9,481
7,2013,08,04,2013-08-04,999.9,454
7,2013,08,25,2013-08-25,999.9,459
6,2013,08,10,2013-08-10,999.9,495
3,2013,08,07,2013-08-07,999.9,508
3,2013,08,14,2013-08-14,999.9,622
7,2013,08,18,2013-08-18,999.9,442
5,2013,08,09,2013-08-09,999.9,579
6,2013,08,03,2013-08-03,999.9,492
4,2013,08,29,2013-08-29,999.9,572
1,2013,08,26,2013-08-26,999.9,521
2,2013,08,27,2013-08-27,999.9,506
5,2013,08,30,2013-08-30,999.9,599
4,2013,08,01,2013-08-01,999.9,643
3,2013,08,21,2013-08-21,999.9,562
3,2013,08,28,2013-08-28,999.9,482
5,2013,08,23,2013-08-23,999.9,636
1,2013,08,19,2013-08-19,999.9,462
6,2013,08,17,2013-08-17,999.9,504
5,2013,08,16,2013-08-16,999.9,678
1,2013,08,05,2013-08-05,999.9,545
2,2013,08,13,2013-08-13,999.9,552
5,2013,08,02,2013-08-02,999.9,626
4,2013,08,08,2013-08-08,999.9,549
4,2013,08,15,2013-08-15,999.9,599
4,2013,08,22,2013-08-22,999.9,578
1,2013,08,12,2013-08-12,999.9,519
6,2013,08,24,2013-08-24,999.9,527
6,2013,08,31,2013-08-31,999.9,480
1,2013,09,09,2013-09-09,999.9,632
2,2013,09,17,2013-09-17,999.9,627
5,2013,09,27,2013-09-27,999.9,553
4,2013,09,05,2013-09-05,999.9,493
7,2013,09,08,2013-09-08,999.9,500
3,2013,09,11,2013-09-11,999.9,576
6,2013,09,07,2013-09-07,999.9,585
6,2013,09,21,2013-09-21,999.9,546
1,2013,09,30,2013-09-30,999.9,605
